broad_sector,num_companies,sales,net_profit,return_on_equity_pct,pe_ratio
Communication Services,14,59799.21428571428,866.7142857142857,7.57697979755794,47.654999999999994
Consumer Discretionary,105,59431.29523809524,2972.5619047619048,20.63629000855534,42.75142857142857
Consumer Staples,49,25559.081632653062,4833.081632653061,37.046882086143626,42.83653061224489
Energy,98,187896.5612244898,14759.520408163266,13.096307598665083,44.63683673469387
Financials,166,86523.8313253012,7755.981927710844,17.112416742364047,42.05072289156627
Healthcare,42,18848.761904761905,2594.095238095238,14.32743501242289,39.46857142857143
Industrials,83,40648.48192771084,3836.397590361446,593.7374014330442,46.4366265060241
Information Technology,42,86083.21428571429,14048.119047619048,25.188801046156374,50.08047619047619
Materials,69,78721.84057971014,6796.144927536232,18.620573665169307,47.406666666666666
Real Estate,14,8090.214285714285,1287.7857142857142,8.564457111890942,45.95357142857143
